Mapping,SQL Datatype
ACCP,VARCHAR
CHAR,NVARCHAR
CLNT,NVARCHAR
CUKY,NVARCHAR
CURR,DECIMAL
D16D,DECIMAL
D16N,DECIMAL
D16R,VARBINARY
D16S,VARBINARY
D34D,DECIMAL
D34N,DECIMAL
D34R,VARBINARY
D34S,VARBINARY
DATN,VARCHAR
DATS,VARCHAR
DEC,DECIMAL
FLTP,DOUBLE
INT1,TINYINT
INT2,SMALLINT
INT4,INTEGER
LANG,NVARCHAR
LCHR,NCLOB
LRAW,BLOB
NUMC,VARCHAR
PREC,DECIMAL
QUAN,DECIMAL
RAW,VARBINARY
RSTR,BLOB
SSTR,NVARCHAR
STRG,NVARCHAR
TIMN,VARCHAR
TIMS,VARCHAR
UNIT,NVARCHAR
UTCL,TIMESTAMP
VARC,NVARCHAR